Ref,Val,Package,PosX,PosY,Rot,Side
"D2","LED","LED_PLCC_2835",109.150000,-54.400000,270.000000,bottom
"D2","LED","LED_PLCC_2835",96.250000,-81.400000,270.000000,bottom
"D2","LED","LED_PLCC_2835",134.950000,-81.400000,270.000000,bottom
"D2","LED","LED_PLCC_2835",147.850000,-81.400000,270.000000,bottom
"D2","LED","LED_PLCC_2835",160.750000,-81.400000,270.000000,bottom
"D2","LED","LED_PLCC_2835",173.650000,-81.400000,270.000000,bottom
"D2","LED","LED_PLCC_2835",109.150000,-81.400000,270.000000,bottom
"D2","LED","LED_PLCC_2835",122.050000,-81.400000,270.000000,bottom
"D2","LED","LED_PLCC_2835",173.650000,-54.400000,270.000000,bottom
"D2","LED","LED_PLCC_2835",160.750000,-54.400000,270.000000,bottom
"D2","LED","LED_PLCC_2835",147.850000,-54.400000,270.000000,bottom
"D2","LED","LED_PLCC_2835",134.950000,-54.400000,270.000000,bottom
"D2","LED","LED_PLCC_2835",122.050000,-54.400000,270.000000,bottom
"D2","LED","LED_PLCC_2835",96.250000,-108.400000,270.000000,bottom
"D2","LED","LED_PLCC_2835",160.750000,-108.400000,270.000000,bottom
"D2","LED","LED_PLCC_2835",147.850000,-108.400000,270.000000,bottom
"D2","LED","LED_PLCC_2835",173.650000,-108.400000,270.000000,bottom
"D2","LED","LED_PLCC_2835",109.150000,-108.400000,270.000000,bottom
"D2","LED","LED_PLCC_2835",122.050000,-108.400000,270.000000,bottom
"D2","LED","LED_PLCC_2835",134.950000,-108.400000,270.000000,bottom
"D2","LED","LED_PLCC_2835",96.250000,-54.400000,270.000000,bottom
"REF**","Fiducial_0.75mm_Mask1.5mm","Fiducial_0.75mm_Mask1.5mm",171.000000,-133.900000,180.000000,bottom
"REF**","Fiducial_0.75mm_Mask1.5mm","Fiducial_0.75mm_Mask1.5mm",86.500000,-65.400000,90.000000,bottom
"REF**","Fiducial_0.75mm_Mask1.5mm","Fiducial_0.75mm_Mask1.5mm",167.000000,-42.900000,0.000000,bottom
"U1","AL5809","D_PowerDI-123",147.850000,-63.400000,180.000000,bottom
"U1","AL5809","D_PowerDI-123",134.950000,-63.400000,180.000000,bottom
"U1","AL5809","D_PowerDI-123",96.250000,-63.400000,180.000000,bottom
"U1","AL5809","D_PowerDI-123",122.050000,-63.400000,180.000000,bottom
"U1","AL5809","D_PowerDI-123",109.150000,-63.400000,180.000000,bottom
"U1","AL5809","D_PowerDI-123",147.850000,-117.400000,180.000000,bottom
"U1","AL5809","D_PowerDI-123",160.750000,-63.400000,180.000000,bottom
"U1","AL5809","D_PowerDI-123",173.650000,-63.400000,180.000000,bottom
"U1","AL5809","D_PowerDI-123",96.250000,-90.400000,180.000000,bottom
"U1","AL5809","D_PowerDI-123",122.050000,-90.400000,180.000000,bottom
"U1","AL5809","D_PowerDI-123",160.750000,-90.400000,180.000000,bottom
"U1","AL5809","D_PowerDI-123",173.650000,-90.400000,180.000000,bottom
"U1","AL5809","D_PowerDI-123",134.950000,-90.400000,180.000000,bottom
"U1","AL5809","D_PowerDI-123",147.850000,-90.400000,180.000000,bottom
"U1","AL5809","D_PowerDI-123",109.150000,-90.400000,180.000000,bottom
"U1","AL5809","D_PowerDI-123",96.250000,-117.400000,180.000000,bottom
"U1","AL5809","D_PowerDI-123",122.050000,-117.400000,180.000000,bottom
"U1","AL5809","D_PowerDI-123",160.750000,-117.400000,180.000000,bottom
"U1","AL5809","D_PowerDI-123",173.650000,-117.400000,180.000000,bottom
"U1","AL5809","D_PowerDI-123",134.950000,-117.400000,180.000000,bottom
"U1","AL5809","D_PowerDI-123",109.150000,-117.400000,180.000000,bottom
